Model,Accuracy,F1 Score,Precision,Recall,ROC-AUC,Train Time (s),Category,Rank
Stacking (GBM meta),0.968475073313783,0.3384615384615385,0.5238095238095238,0.25,0.8643681129476584,27.49,Advanced,1
Stacking (LR meta),0.967741935483871,0.45,0.5,0.4090909090909091,0.9280819559228651,171.16,Advanced,2
SVM,0.9648093841642229,0.1111111111111111,0.3,0.06818181818181818,0.234349173553719,29.55,Baseline,3
Extra Trees,0.9640762463343109,0.5420560747663551,0.4603174603174603,0.6590909090909091,0.9403064738292011,1.57,Ensemble,4
Voting (Hard),0.9516129032258065,0.45901639344262296,0.358974358974359,0.6363636363636364,,8.88,Advanced,5
Random Forest,0.9442815249266863,0.45714285714285713,0.3333333333333333,0.7272727272727273,0.9298381542699725,9.85,Ensemble,6
Voting (Soft),0.9318181818181818,0.41509433962264153,0.28695652173913044,0.75,0.9325413223140496,41.07,Advanced,7
Gradient Boosting,0.9230205278592375,0.36363636363636365,0.24793388429752067,0.6818181818181818,0.9199380165289255,18.9,Ensemble,8
Bagging (DT),0.9134897360703812,0.3655913978494624,0.23943661971830985,0.7727272727272727,0.9290030991735537,6.73,Ensemble,9
Decision Tree,0.8966275659824047,0.3188405797101449,0.20245398773006135,0.75,0.8611311983471075,0.3,Baseline,10
KNN,0.8782991202346041,0.2782608695652174,0.17204301075268819,0.7272727272727273,0.8570420110192837,0.0,Baseline,11
AdaBoost,0.8357771260997068,0.2483221476510067,0.14566929133858267,0.8409090909090909,0.9200327134986226,5.19,Ensemble,12
Logistic Regression,0.45527859237536655,0.05590851334180432,0.029609690444145357,0.5,0.5152720385674932,0.13,Baseline,13
Naive Bayes,0.0373900293255132,0.061472480343102216,0.03173431734317343,0.9772727272727273,0.5228047520661157,0.01,Baseline,14
